description,upc,quantity,done,unit,price,note,coupon_amount,coupon_type,coupon_note,tax_free,category
"Manzana roja 5u Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Tomate riñon 8u Mega",,1.0,False,NOT_SPECIFIED,1.33,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Maicena Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Abarrotes
"Toallas de cocina 2 en 1 Mega",,4.0,False,NOT_SPECIFIED,2.65,"",0.0,AMOUNT,"",True,Limpieza
"Peras Mega",,1.0,False,NOT_SPECIFIED,0.7,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Piña 1u Mega",,1.0,False,NOT_SPECIFIED,2.9,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Huesos mascotas Mega",,1.0,False,NOT_SPECIFIED,2.15,"",0.0,AMOUNT,"",True,Mascotas
"Sapolio jardín Mega",,1.0,False,NOT_SPECIFIED,2.2,"",0.0,AMOUNT,"",True,Jardin
"Hierba buena 2u Mega",,2.0,False,NOT_SPECIFIED,0.65,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Hueso Ingrid Mega",,1.0,False,NOT_SPECIFIED,1.42,"",0.0,AMOUNT,"",True,Mascotas
"Galleta Huesitos pequeña perro Mega",,1.0,False,NOT_SPECIFIED,2.67,"",0.0,AMOUNT,"",True,Mascotas
"Remolacha Mega",,1.0,False,NOT_SPECIFIED,1.06,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Lechuga criolla Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Zapallo 1u Mega",,1.0,False,NOT_SPECIFIED,0.41,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Garbanzo Mega",,1.0,False,NOT_SPECIFIED,1.15,"",0.0,AMOUNT,"",True,Abarrotes
"Galletas  muu Mega",,1.0,False,NOT_SPECIFIED,1.19,"",0.0,AMOUNT,"",True,Abarrotes
"Queso parmesano mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Lacteos
"Huevos medianos Mega 45 unidades",,1.0,False,NOT_SPECIFIED,4.59,"",0.0,AMOUNT,"",True,Carnes
"Mascarilla Natural Vital 300ml cabellos negros Mega",,1.0,False,NOT_SPECIFIED,7.76,"",0.0,AMOUNT,"",True,Belleza
"Perejil Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Papaya hawayana 2u Mega",,1.0,False,NOT_SPECIFIED,0.73,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Sopas maggi Mega",,2.0,False,NOT_SPECIFIED,0.68,"",0.0,AMOUNT,"",True,Abarrotes
"Guitig 300 ml Mega",,4.0,False,NOT_SPECIFIED,0.38,"",0.0,AMOUNT,"",True,Abarrotes
" Lavavajillas lava Mega",,2.0,False,NOT_SPECIFIED,2.54,"",0.0,AMOUNT,"",True,Limpieza
"Desinfectante Kalipto 1g Mega",,1.0,False,NOT_SPECIFIED,7.19,"",0.0,AMOUNT,"",True,Limpieza
"Ajo molido 250g Mega",,1.0,False,NOT_SPECIFIED,1.96,"",0.0,AMOUNT,"",True,Abarrotes
"Manzanilla Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Azucar san carlos 2u",,1.0,False,NOT_SPECIFIED,1.77,"",0.0,AMOUNT,"",True,Abarrotes
"Pala de basura mega",,1.0,False,NOT_SPECIFIED,2.0,"",0.0,AMOUNT,"",True,Limpieza
"Pepinillos 2u Mega",,1.0,False,NOT_SPECIFIED,0.5,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Leche en funda Semidescremada 1lMega",,12.0,False,NOT_SPECIFIED,0.79,"",0.0,AMOUNT,"",True,Lacteos
"Avena Quaquer funda Mega",,1.0,False,NOT_SPECIFIED,1.71,"",0.0,AMOUNT,"",True,Abarrotes
"Tomate de arbol 8u Mega",,1.0,False,NOT_SPECIFIED,1.06,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Limpiador baño Sachet Tips 500ml Mega",,1.0,False,NOT_SPECIFIED,1.57,"",0.0,AMOUNT,"",False,Limpieza
"Apio Mega",,1.0,False,NOT_SPECIFIED,0.72,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Limpia escusados Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Limpieza
"Grosellas encurtidas Mega",,1.0,False,NOT_SPECIFIED,1.27,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Frambuesa Mega",,1.0,False,NOT_SPECIFIED,2.76,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Fundas megamaxi grande Mega",,2.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Hogar
"Champiñones Cepa 220g Mega",,1.0,False,NOT_SPECIFIED,1.46,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Choclo mega",,1.0,False,NOT_SPECIFIED,2.11,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Naranjilla 6u Mega",,1.0,False,NOT_SPECIFIED,1.25,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Zanahorias amarilla 6u Mega",,1.0,False,NOT_SPECIFIED,0.8,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Limon 8u Mega",,1.0,False,NOT_SPECIFIED,1.5,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Higado res  Mega",,1.0,False,NOT_SPECIFIED,2.19,"",0.0,AMOUNT,"",True,Carnes
"Lava Mega",,2.0,False,NOT_SPECIFIED,2.6,"",0.0,AMOUNT,"",True,Limpieza
"Nueces",,1.0,False,NOT_SPECIFIED,5.0,"",0.0,AMOUNT,,True,Snacks
