description,upc,quantity,done,unit,price,note,coupon_amount,coupon_type,coupon_note,tax_free,category
"Zanahoria amarilla Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Lenteja Mega",,1.0,False,NOT_SPECIFIED,0.75,"",0.0,AMOUNT,"",True,Abarrotes
"Piña 1u Mega",,1.0,False,NOT_SPECIFIED,2.9,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Azucar san carlos 2u",,1.0,False,NOT_SPECIFIED,1.77,"",0.0,AMOUNT,"",True,Abarrotes
"Curry Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Abarrotes
"Queso parmesano mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Lacteos
"Higado res  Mega",,1.0,False,NOT_SPECIFIED,2.19,"",0.0,AMOUNT,"",True,Carnes
"Avena Quaquer funda Mega",,1.0,False,NOT_SPECIFIED,1.71,"",0.0,AMOUNT,"",True,Abarrotes
"Ciruelas Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Abarrotes
"Mascarilla Natural Vital 300ml cabellos negros Mega",,1.0,False,NOT_SPECIFIED,7.76,"",0.0,AMOUNT,"",True,Belleza
"Galletas  muu Mega",,1.0,False,NOT_SPECIFIED,1.19,"",0.0,AMOUNT,"",True,Abarrotes
"Palos escoba Mega",,3.0,False,NOT_SPECIFIED,0.83,"",0.0,AMOUNT,"",True,Hogar
"Remolacha Mega",,1.0,False,NOT_SPECIFIED,1.06,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Remolacha 3u Mega",,1.0,False,NOT_SPECIFIED,0.21,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Huevos medianos Mega 45 unidades",,1.0,False,NOT_SPECIFIED,4.59,"",0.0,AMOUNT,"",True,Carnes
"Peras Mega",,1.0,False,NOT_SPECIFIED,0.7,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Huesos mascotas Mega",,1.0,False,NOT_SPECIFIED,2.15,"",0.0,AMOUNT,"",True,Mascotas
